,Tweet,Date,Year,Month
0,Their pocket books full as corporations will pay to continue the destruction True destruction wont happen during their lifetimes Trumps life,2022-04-30 23:58:11+00:00,2022,4
1,,2022-04-30 23:58:02+00:00,2022,4
2,Mexico sends its people theyre small something else to myself right now we need global warming Ive said if Hillary,2022-04-30 23:55:14+00:00,2022,4
3,He is doing DIY crafts for the dangers of global warming eventually,2022-04-30 23:53:57+00:00,2022,4
4,d be prison life,2022-04-30 23:51:23+00:00,2022,4
5,but cannot prevent the Armageddon within the earth The earth is getting towards it end from within and not from outside We are killing it with pollution global warming weapons race conflicts wars Actual Armageddon,2022-04-30 23:48:40+00:00,2022,4
6,Get up soldier Global warming isnt a prediction It is happening I wish I was never programmed,2022-04-30 23:48:31+00:00,2022,4
7,Global Warming and Climate Change,2022-04-30 23:47:44+00:00,2022,4
8,and Trump Ourselves and Global Warming,2022-04-30 23:43:51+00:00,2022,4
9,Global warming is real do your part if you can,2022-04-30 23:42:49+00:00,2022,4
10,Send letters to world leaders to build solarpunk future sustainable smart cities and countries Phase out fossil fuels oils gases and coals End extinctionLimit global warming Create clean renewable energyReplace plastics with ecofriendly products By 2100 and 2200,2022-04-30 23:41:33+00:00,2022,4
11,,2022-04-30 23:41:14+00:00,2022,4
12,that still tries to convince lemmings global warming is fake news,2022-04-30 23:39:17+00:00,2022,4
13,Just means Scomo wont go to the Solomon island next time a natural disaster occurs auspol insiders election,2022-04-30 23:38:51+00:00,2022,4
14,Give them time next it will be global warming,2022-04-30 23:38:23+00:00,2022,4
15,How long has the fossil fuel industry known about global warming And what can we do about it today Dr Benjamin Franta discusses the hidden history of climate science,2022-04-30 23:35:22+00:00,2022,4
16,Harry is surfing the internet for the dangers of global warming every single day,2022-04-30 23:33:54+00:00,2022,4
17,If climate change global warming and extinction are being defeated Make world solarpunk sustainable future,2022-04-30 23:33:29+00:00,2022,4
18,subway systems environmental remediation projects etc Also environmentalism is a lot more than just stopping global warming,2022-04-30 23:33:23+00:00,2022,4
