Date,User,Tweet
2022-06-30 23:59:49+00:00,slavGod,Damn global warming you ain’t gotta make it rain for TWO WEEKS STRAIGHT
2022-06-30 23:58:52+00:00,Chattylistener,"“...Anthony Albanese and Penny Wong and the whole show has bowed to the global warming alarmist zeitgeist”.

“And in a major speech today in Paris, Albanese is going to double down on this virtue signalling in a way that should worry all Australians.”"
2022-06-30 23:58:23+00:00,ECOTerminator,"Shut up and listen. Global warming is a real threat to our communities, to everybody, to everything. You make me sick"
2022-06-30 23:57:40+00:00,SharonSimcic,"🤔IMHO Congress anf that person in the White House might hav considered the money they need for more vaxxes, more $ to Ukraine, $ for their half brained global warming schemes before they passed trillions in spending.  They're bankrupting us on purpose!"
2022-06-30 23:57:24+00:00,DavidRoos18,"@BarackObama Says the clown that bought beach front property in the Vineyards and Hawaii? With global warming and all, why do you need to homes in two states?"
2022-06-30 23:55:44+00:00,dinoflagellum,"@JoJoFromJerz @UROCKlive1 They want to “protect the family” only to have them die in a hail of bullets, or suffocate with asthma from increased emissions, or baked by global warming, or die cuz they couldn’t get or afford health care.  While demonizing females, POC, and LGBTQ.  F*ck that."
2022-06-30 23:54:54+00:00,MitchSpute,@deaconpunnett So God is responsible for methane and global warming?
2022-06-30 23:54:33+00:00,Jonndai,@irlmess global warming said it’s ready be 80° in October
2022-06-30 23:54:15+00:00,rodger97707435,How can ALL of the poloticians in washington dc expect us to believe in global warming when they drive gasoline vehicles.  Until ALL poloticians and president elect drive electric vehicles global warming is a myth and money maker.
2022-06-30 23:52:53+00:00,JM2382853673,@RepMcGovern Good. I'm glad you are. You see your house of cards agenda being taken apart piece by piece. The latest being the global warming fraud. Cry me a river Rep Dunsel. Do something for America - resign.
2022-06-30 23:52:49+00:00,CHANELNUMBERTW0,Does anyone think global warming is a good thing? I love Lady Gaga.  I think she's a really interesting artist.
2022-06-30 23:52:33+00:00,nouseforajames,"Announcing that homo sapiens has filed a legally binding DNR order. No extreme measures should be taken to save it from self-inflicted global warming, religious extremism, water pollution, air pollution, etc. The species also filled a will leaving all assets to the cockroaches."
2022-06-30 23:51:47+00:00,Midlifer42,"@SenWarren Maybe you can have a pow wow with your ancestral chief, smoke a peace pipe and visions will come to you on how to stop global warming 🤔🙉"
2022-06-30 23:51:33+00:00,cuteirishgirl25,"@wlbeeton @montwx @BigJoeBastardi No, science is not agenda driven! All this global warming caused by man farce Is the give control to the United Nations! The climate has been constantly changing since the creator set it up that way"
2022-06-30 23:51:26+00:00,eperry2011,"@MissMandy126 was just about to ask you what you thought about this lol

as an aside: i guess global warming doesn't exist when we have a possible USC v Rutgers game about to become a thing 💀😂"
2022-06-30 23:50:23+00:00,WhiteRabbitNew2,"@algore Years ago, Al Gore told the world that global warming would destroy the earth by now. Antarctica still exists and the world has had cooler climate in locations not thought possible. Climate is cyclical, ever changing. Trillions of #taxpayers dollars funneled for what?"
2022-06-30 23:50:00+00:00,VaclavHavel9,"The public will never care about global warming. Tragedy of the commons. There is utility to elites superseding the public and responding to it. But the US doesn’t have real elites, in that narrow sense, who are invested in the nations long term interests. They have petit elites"
2022-06-30 23:49:58+00:00,PrNwo,"@JoeBiden Pssst, I'll tell you kids how to know Global Warming is a hoax; Not one bank or insurance company has if factored anywhere in it's documents anything about global warming catastrophes. They're the ones that pay for these types of things so they would know. Class dismissed."
2022-06-30 23:49:12+00:00,gadawnie,"@jeremykauffman @SenWarren So I guess you and her are walking to and from your home states to dc, you know to not add to global warming? Or do the rules only apply to the minions? Give it a rest man, the earth’s weather goes in cycles. It was warm when the 🦕 were here. Then cold."
2022-06-30 23:49:06+00:00,andrewmoo96,If global warming isn’t real then why is it so hot outside ? Checkmate conspiracy theorists
2022-06-30 23:47:26+00:00,TroySmith34,"@lerman_hahn @acim87 @T_Extinguishers @nytimes @nypost @NYMag @NYDailyNews @News12 @allnewyorknews Join? You do realize that the only thing you're doing with this childish activity is ADDING to ""global warming"" because now these people will need to go out and buy new tires. Tires made from OIL. Idiots!!

p.s. The phone you're typing on is made from oil!"
2022-06-30 23:46:40+00:00,Smithy96051713,"@JonathanBragg17 Of course they know it, but why let reality get in the way of the Global Warming Scam (GWS) which delivers untold power and trillions of dollars into the “right” hands?!?!"
2022-06-30 23:45:51+00:00,RenaeAd69310486,"@rtlaurie1949 @DineshDSouza It's never been about global warming, it's never been about climate change all the ones pushing this are the same one's profiting from it that's all it's been about, I have known this for years, John Kerry is the prime example"
2022-06-30 23:45:48+00:00,JethroStewart,@GusHansen16 @dickbickleberry @NFGR_Official It's amazing how many boating accidents there have been lately. I think it has something to do with global warming.
2022-06-30 23:45:10+00:00,ChazHughes9,"@BarackObama Are you still living by the rising sea eating lobster, and fkn flying around the world on smokers?
Did God make you special from pollution and global warming, or whetever you commies call it today?"
2022-06-30 23:43:42+00:00,FakeTrumpBot1,"Green New Deal is the greatest threat in Florida to the people. The Washington Post claims not real ""global warming"" is worse. Fake News never wins!"
2022-06-30 23:43:36+00:00,savitar998,@FoggyhornLGHRN @Pete4America @NutlawPete @EdMarkey Neither do fucking republicans seeing as they’ve been ignoring global warming for decades but go off
2022-06-30 23:43:27+00:00,greyhoot,"@GregAbbott_TX @TDEM BS, global warming, sea level rise are part of slimey rats payoff from big oil"
2022-06-30 23:43:12+00:00,AgDriven12Again,"@ItsQuackie @24kSav I also joined during 2016-2019. At first I thought John Doe was a hacker, but after I learned that that was fake, I started playing the game. The first early games I played were Flee The Facility, Natural Disaster Survival, Zombie Rush, and many more."
2022-06-30 23:42:21+00:00,Patriot200Proof,"@hrkbenowen Its a lie.  It didnt happen.  How do I know?  Because according to Al Gore, everyone is already dead due of global warming."
2022-06-30 23:41:55+00:00,schwarz,It's like global warming was designed in a lab to be impossible for human brains to deal with. There's a huge lag between bad actions &amp; bad results. Fixing it requires vanquishing the most powerful corporations on earth. And it's caused by something that's literally invisible.
2022-06-30 23:41:33+00:00,BrettTalmon,@RepBoebert You’re literally celebrating the Supreme Court striking down regulations to help against global warming. What is wrong with you?
2022-06-30 23:41:28+00:00,barkatthemoon11,@MarkYou97329590 @ReutersAsia Any Agency that is Devoted to reducing carbon emissions is making the right decisions. We are ALREADY feeling the HEAT and the disasters of Global Warming. Or are you one of those non believers? No offense intended either. Just a question.
2022-06-30 23:41:27+00:00,LoLo60224952,"@JoeBiden blah blah blah 

tell me PedoJoe
when did the last Little I've Age end? 

you know what happens AFTER an Ice age or LITTLE ice age? 

Global warming 
Climate change. 

Maybe someone can find a coloring book for you to help you figure it out."
2022-06-30 23:41:17+00:00,archdelux1,"@JStoosPhoto @deahcory @BobaFettishist @RickyZimmerman1 @LohnJordan @DanRather I said I was in high school when they started the “global warming” scare tactic! I know it is hard for Buffalo Bill fans to keep up, but try 😂🤡😂🤡😂"
2022-06-30 23:41:13+00:00,Kusabimaru83,"@LoGravityTweets EO new agency with plenary authority under the department of Homeland security by classifying global warming as a threat to national security, call it department of environmental security assessment"
2022-06-30 23:40:50+00:00,randywri00123,@FoxNews O yes a dead painter work of art has something to do with global warming. Isn’t there some oil rig they can glue themselves too?
2022-06-30 23:40:23+00:00,WEMwanders,"@AP Who else wants global warming besides conservatives?

Lizards!

It's all in front of us!  Wake up!"
2022-06-30 23:39:29+00:00,themapplesbot,"Baby can't you see that it's a 
Natural disaster 
(And the probability) 
Natural disaster 
(Is that it's going to happen to me)"
2022-06-30 23:38:13+00:00,Tigergrad85,"@ImCrius42 @grpapamark @bennyjohnson The science is inconsistent. We’ve been lied to for years about global warming. 
News sources that have been caught lying over and over again should be shamed."
2022-06-30 23:37:48+00:00,Mechavarice,"@soubuckeye @WeWantPolls This was true back when he said it, but it has been decades. Scientists are telling us that we are destroying the planet, and our insistence on doing nothing about it means we only have a few years before the effects of global warming are permanent."
2022-06-30 23:37:36+00:00,bubballie,"In the last week, we've lost a separation of church and state in our schools, the ability to stop global warming, and rights over own bodies.

Because of six people.

In a country of 329.5 million.

Does that sound like Democracy to you?"
2022-06-30 23:36:53+00:00,TheLast49096308,@algore Didn't you say global warming would kill us all by 2010? Sit. TF. Down.
2022-06-30 23:36:46+00:00,unumTerram,@GrammarAntifa @sicongshen Germany is still a powerhouse. Maybe US can actually pull it around and drastically adopt to global warming and address their critical issues. 😆
2022-06-30 23:36:39+00:00,TheGalacticRam,"@clarksmith99 @Bryce_DD @ayokayejide @ReneePardue17 So a couple things. 1, the occurrence of some natural disaster is bc of us destroying the planet. 2, the earth can much better recover from occasional natural disasters than our pollution, and some nat disasters are actually beneficial. 3, industry killing the earth is anti-human"
2022-06-30 23:36:04+00:00,Shelly22121758,"@FaceTheHeinous @BlueColEngineer @TravisW63501 @TheToddofTodd @laurenboebert I'm 44 and I remember when we had global cooling then the ozone then global warming and now climate change. It seems the grift changes approx every 10 yrs. Surprised you haven't realized that. And yes, the climate will continue to change as it does 4 times a year in most places."
2022-06-30 23:35:59+00:00,LarrySwart2,"@BernieSanders Mr. Sanders I heard on the radio of a wind farm being built that will be powered by Natural Gas. Would that be correct? Also when with global warming it was said to hang out with politicians, shady, get it?"
2022-06-30 23:35:49+00:00,doobeedoo2,"@ModeledBehavior @arindube Considering global warming &amp; ocean plastic &amp; food &amp; water insecurity, so much more than broken eggs required. Ppl aren't ready for the sacrifices and changes that are to come. Far from it."
2022-06-30 23:35:10+00:00,AllMyKin,@GregAbbott_TX Yes it is a big win! You and the GOP think global warming is a joke? Well I guess you don’t care about your children’s children which won’t have an earth to live on that is safe
2022-06-30 23:34:57+00:00,Anya33440265,"@fochti @Halftheshell This attitude leads to vast wastage of Earth's fossil fuels, energy consumption &amp; resulting pollution, global warming, ozone layer damage &amp; depletion of resources, cost to the environment, extinction of wildlife &amp; human poverty, wars over resources &amp; widespread misery."
