,Tweet,Date,Year,Month
60000,Damn global warming you aint gotta make it rain for TWO WEEKS STRAIGHT,2022-06-30 23:59:49+00:00,2022,6
60001,Anthony Albanese and Penny Wong and the whole show has bowed to the global warming alarmist zeitgeistAnd in a major speech today in Paris Albanese is going to double down on this virtue signalling in a way that should worry all Australians,2022-06-30 23:58:52+00:00,2022,6
60002,Shut up and listen Global warming is a real threat to our communities to everybody to everything You make me sick,2022-06-30 23:58:23+00:00,2022,6
60003,IMHO Congress anf that person in the White House might hav considered the money they need for more vaxxes more to Ukraine for their half brained global warming schemes before they passed trillions in spending Theyre bankrupting us on purpose,2022-06-30 23:57:40+00:00,2022,6
60004,With global warming and all why do you need to homes in two states,2022-06-30 23:57:24+00:00,2022,6
60005,protect the family only to have them die in a hail of bullets or suffocate with asthma from increased emissions or baked by global warming or die cuz they couldnt get or afford health care While demonizing females POC and LGBTQ Fck that,2022-06-30 23:55:44+00:00,2022,6
60006,,2022-06-30 23:54:54+00:00,2022,6
60007,s ready be 80 in October,2022-06-30 23:54:33+00:00,2022,6
60008,How can ALL of the poloticians in washington dc expect us to believe in global warming when they drive gasoline vehicles Until ALL poloticians and president elect drive electric vehicles global warming is a myth and money maker,2022-06-30 23:54:15+00:00,2022,6
60009,Im glad you are You see your house of cards agenda being taken apart piece by piece The latest being the global warming fraud Cry me a river Rep Dunsel Do something for America resign,2022-06-30 23:52:53+00:00,2022,6
60010,Does anyone think global warming is a good thing I love Lady Gaga I think shes a really interesting artist,2022-06-30 23:52:49+00:00,2022,6
60011,Announcing that homo sapiens has filed a legally binding DNR order No extreme measures should be taken to save it from selfinflicted global warming religious extremism water pollution air pollution etc The species also filled a will leaving all assets to the cockroaches,2022-06-30 23:52:33+00:00,2022,6
60012,smoke a peace pipe and visions will come to you on how to stop global warming,2022-06-30 23:51:47+00:00,2022,6
60013,science is not agenda driven All this global warming caused by man farce Is the give control to the United Nations The climate has been constantly changing since the creator set it up that way,2022-06-30 23:51:33+00:00,2022,6
60014,as an aside i guess global warming doesnt exist when we have a possible USC v Rutgers game about to become a thing,2022-06-30 23:51:26+00:00,2022,6
60015,Al Gore told the world that global warming would destroy the earth by now Antarctica still exists and the world has had cooler climate in locations not thought possible Climate is cyclical ever changing Trillions of taxpayers dollars funneled for what,2022-06-30 23:50:23+00:00,2022,6
60016,The public will never care about global warming Tragedy of the commons There is utility to elites superseding the public and responding to it But the US doesnt have real elites in that narrow sense who are invested in the nations long term interests They have petit elites,2022-06-30 23:50:00+00:00,2022,6
60017,Ill tell you kids how to know Global Warming is a hoax Not one bank or insurance company has if factored anywhere in its documents anything about global warming catastrophes Theyre the ones that pay for these types of things so they would know Class dismissed,2022-06-30 23:49:58+00:00,2022,6
60018,you know to not add to global warming Or do the rules only apply to the minions Give it a rest man the earths weather goes in cycles It was warm when the were here Then cold,2022-06-30 23:49:12+00:00,2022,6
60019,If global warming isnt real then why is it so hot outside Checkmate conspiracy theorists,2022-06-30 23:49:06+00:00,2022,6
60020,You do realize that the only thing youre doing with this childish activity is ADDING to global warming because now these people will need to go out and buy new tires Tires made from OIL Idiotsps The phone youre typing on is made from oil,2022-06-30 23:47:26+00:00,2022,6
60021,but why let reality get in the way of the Global Warming Scam GWS which delivers untold power and trillions of dollars into the right hands,2022-06-30 23:46:40+00:00,2022,6
60022,s never been about global warming its never been about climate change all the ones pushing this are the same ones profiting from it thats all its been about I have known this for years John Kerry is the prime example,2022-06-30 23:45:51+00:00,2022,6
60023,s amazing how many boating accidents there have been lately I think it has something to do with global warming,2022-06-30 23:45:48+00:00,2022,6
60024,and fkn flying around the world on smokersDid God make you special from pollution and global warming or whetever you commies call it today,2022-06-30 23:45:10+00:00,2022,6
60025,Green New Deal is the greatest threat in Florida to the people The Washington Post claims not real global warming is worse Fake News never wins,2022-06-30 23:43:42+00:00,2022,6
60026,ve been ignoring global warming for decades but go off,2022-06-30 23:43:36+00:00,2022,6
60027,global warming sea level rise are part of slimey rats payoff from big oil,2022-06-30 23:43:27+00:00,2022,6
60028,2019 At first I thought John Doe was a hacker but after I learned that that was fake I started playing the game The first early games I played were Flee The Facility Natural Disaster Survival Zombie Rush and many more,2022-06-30 23:43:12+00:00,2022,6
60029,It didnt happen How do I know Because according to Al Gore everyone is already dead due of global warming,2022-06-30 23:42:21+00:00,2022,6
60030,Its like global warming was designed in a lab to be impossible for human brains to deal with Theres a huge lag between bad actions amp bad results Fixing it requires vanquishing the most powerful corporations on earth And its caused by something thats literally invisible,2022-06-30 23:41:55+00:00,2022,6
60031,re literally celebrating the Supreme Court striking down regulations to help against global warming What is wrong with you,2022-06-30 23:41:33+00:00,2022,6
60032,We are ALREADY feeling the HEAT and the disasters of Global Warming Or are you one of those non believers No offense intended either Just a question,2022-06-30 23:41:28+00:00,2022,6
60033,tell me PedoJoewhen did the last Little Ive Age end you know what happens AFTER an Ice age or LITTLE ice age Global warming Climate change Maybe someone can find a coloring book for you to help you figure it out,2022-06-30 23:41:27+00:00,2022,6
60034,global warming scare tactic I know it is hard for Buffalo Bill fans to keep up but try,2022-06-30 23:41:17+00:00,2022,6
